[rosmaster.main][INFO] 2018-12-05 17:58:15,875: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 17:58:15,875: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 17:58:15,876: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 17:58:15,876: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2018-12-05 17:58:15,877: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-05 17:58:15,877: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 17:58:15,964: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:15,967: +PARAM [/roslaunch/uris/host_onboardpc__45123] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,162: +PARAM [/arm/arm_1_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,162: +PARAM [/arm/arm_4_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,163: +PARAM [/arm/joint_group_interpol_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,163: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:44233/
[rosmaster.master][INFO] 2018-12-05 17:58:16,164: +PARAM [/arm/joint_group_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,164: +PARAM [/arm/driver/sync/interval_ms] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,164: +PARAM [/arm/arm_1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,165: +PARAM [/script_server/arm/default_vel] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,165: +PARAM [/arm/arm_3_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,165: +PARAM [/arm/arm_5_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,166: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:44233/
[rosmaster.master][INFO] 2018-12-05 17:58:16,166: +PARAM [/script_server/arm/waveleft] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,166: +PARAM [/arm/joint_trajectory_controller/constraints/arm_4_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,167: +PARAM [/arm/joint_trajectory_controller/state_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,167: +PARAM [/arm/driver/nodes/arm_4_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,167: +PARAM [/arm/arm_3_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:58:16,168: +PARAM [/arm/arm_3_joint_velocity_controller/joint] by /roslaunch
