[rosmaster.main][INFO] 2018-02-21 10:07:14,090: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-02-21 10:07:14,091: Starting ROS Master Node
[xmlrpc][INFO] 2018-02-21 10:07:14,092: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-02-21 10:07:14,092: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2018-02-21 10:07:14,092: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2018-02-21 10:07:14,092: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-02-21 10:07:14,103: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-02-21 10:07:14,106: +PARAM [/roslaunch/uris/host_onboardpc__44025] by /roslaunch
[rosmaster.master][INFO] 2018-02-21 10:07:14,178: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-02-21 10:07:14,178: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-02-21 10:07:14,185: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:33519/
[rosmaster.master][INFO] 2018-02-21 10:07:14,186: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:33519/
[rosmaster.master][INFO] 2018-02-21 10:07:14,188: +PUB [/rosout_agg] /rosout http://onboardpc:33519/
[rosmaster.master][INFO] 2018-02-21 10:07:14,193: +SUB [/rosout] /rosout http://onboardpc:33519/
[rosmaster.master][INFO] 2018-02-21 10:07:17,950: +PARAM [/RosAria/port] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:17,953: +PUB [/rosout] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,954: +SERVICE [/RosAria/get_loggers] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,955: +SERVICE [/RosAria/set_logger_level] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,958: +PUB [/tf] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,967: +PUB [/RosAria/pose] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,968: +PUB [/RosAria/bumper_state] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,969: +PUB [/RosAria/sonar] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,970: +PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,970: +PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,971: +PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,972: +PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,973: +PUB [/RosAria/motors_state] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,975: +SERVICE [/RosAria/enable_motors] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,976: +SERVICE [/RosAria/disable_motors] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:17,999: publisherUpdate[/rosout] -> http://onboardpc:33519/ ['http://onboardpc:39049/']
[rosmaster.master][INFO] 2018-02-21 10:07:18,002: publisherUpdate[/rosout] -> http://onboardpc:33519/ ['http://onboardpc:39049/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-02-21 10:07:18,580: +SERVICE [/RosAria/set_parameters] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:18,581: +PUB [/RosAria/parameter_descriptions] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:18,582: +PUB [/RosAria/parameter_updates] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:07:18,590: +PARAM [/RosAria/trans_accel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,590: +PARAM [/RosAria/trans_decel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,591: +PARAM [/RosAria/lat_accel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,592: +PARAM [/RosAria/lat_decel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,593: +PARAM [/RosAria/rot_accel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,595: +PARAM [/RosAria/rot_decel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,596: +PARAM [/RosAria/TicksMM] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,597: +PARAM [/RosAria/DriftFactor] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,599: +PARAM [/RosAria/RevCount] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,600: +PARAM [/RosAria/trans_accel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,601: +PARAM [/RosAria/trans_decel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,603: +PARAM [/RosAria/lat_accel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,604: +PARAM [/RosAria/lat_decel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,605: +PARAM [/RosAria/rot_accel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,607: +PARAM [/RosAria/rot_decel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,608: +PARAM [/RosAria/TicksMM] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,609: +PARAM [/RosAria/DriftFactor] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,610: +PARAM [/RosAria/RevCount] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:07:18,617: +SUB [/RosAria/cmd_vel] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,115: -PUB [/rosout] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,116: -PUB [/tf] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,117: -PUB [/RosAria/pose] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,118: -PUB [/RosAria/bumper_state] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,119: -PUB [/RosAria/sonar] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,120: -PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,121: -PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,122: -PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,123: -PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,124: publisherUpdate[/rosout] -> http://onboardpc:33519/ []
[rosmaster.master][INFO] 2018-02-21 10:08:20,124: -PUB [/RosAria/motors_state] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,125: publisherUpdate[/rosout] -> http://onboardpc:33519/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-02-21 10:08:20,126: -PUB [/RosAria/parameter_descriptions] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,127: -PUB [/RosAria/parameter_updates] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,128: -SUB [/RosAria/cmd_vel] /RosAria http://onboardpc:39049/
[rosmaster.master][INFO] 2018-02-21 10:08:20,129: -SERVICE [/RosAria/get_loggers] /RosAria rosrpc://onboardpc:35017
[rosmaster.master][INFO] 2018-02-21 10:08:20,130: -SERVICE [/RosAria/set_logger_level] /RosAria rosrpc://onboardpc:35017
[rosmaster.master][INFO] 2018-02-21 10:08:20,131: -SERVICE [/RosAria/enable_motors] /RosAria rosrpc://onboardpc:35017
[rosmaster.master][INFO] 2018-02-21 10:08:20,132: -SERVICE [/RosAria/disable_motors] /RosAria rosrpc://onboardpc:35017
[rosmaster.master][INFO] 2018-02-21 10:08:20,133: -SERVICE [/RosAria/set_parameters] /RosAria rosrpc://onboardpc:35017
[rosmaster.master][INFO] 2018-02-21 10:09:45,106: +PARAM [/RosAria/port] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:09:45,109: +PUB [/rosout] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,110: +SERVICE [/RosAria/get_loggers] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,111: +SERVICE [/RosAria/set_logger_level] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,114: +PUB [/tf] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,122: +PUB [/RosAria/pose] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,123: +PUB [/RosAria/bumper_state] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,124: +PUB [/RosAria/sonar] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,125: +PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,126: +PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,127: +PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,128: +PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,129: +PUB [/RosAria/motors_state] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,130: +SERVICE [/RosAria/enable_motors] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,131: +SERVICE [/RosAria/disable_motors] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:45,206: publisherUpdate[/rosout] -> http://onboardpc:33519/ ['http://onboardpc:41297/']
[rosmaster.master][INFO] 2018-02-21 10:09:45,208: publisherUpdate[/rosout] -> http://onboardpc:33519/ ['http://onboardpc:41297/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-02-21 10:09:46,090: +SERVICE [/RosAria/set_parameters] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:46,091: +PUB [/RosAria/parameter_descriptions] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:46,093: +PUB [/RosAria/parameter_updates] /RosAria http://onboardpc:41297/
[rosmaster.master][INFO] 2018-02-21 10:09:46,103: +PARAM [/RosAria/trans_accel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:09:46,104: +PARAM [/RosAria/trans_decel] by /RosAria
[rosmaster.master][INFO] 2018-02-21 10:09:46,105: +PARAM [/RosAria/lat_accel] by /RosAria
