[rosmaster.main][INFO] 2018-12-04 19:26:09,875: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-04 19:26:09,875: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-04 19:26:09,876: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-04 19:26:09,877: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2018-12-04 19:26:09,877: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-04 19:26:09,877: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-04 19:26:09,942: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 19:26:09,944: +PARAM [/roslaunch/uris/host_onboardpc__46783] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 19:26:10,091: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 19:26:10,092: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 19:26:10,104: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:33965/
[rosmaster.master][INFO] 2018-12-04 19:26:10,105: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:33965/
[rosmaster.master][INFO] 2018-12-04 19:26:10,109: +PUB [/rosout_agg] /rosout http://onboardpc:33965/
[rosmaster.master][INFO] 2018-12-04 19:26:10,117: +SUB [/rosout] /rosout http://onboardpc:33965/
[rosmaster.master][INFO] 2018-12-04 19:26:16,754: +PARAM [/RosAria/port] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:16,758: +PUB [/rosout] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,759: +SERVICE [/RosAria/get_loggers] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,760: +SERVICE [/RosAria/set_logger_level] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,765: +PUB [/tf] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,775: +PUB [/RosAria/pose] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,777: +PUB [/RosAria/bumper_state] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,778: +PUB [/RosAria/sonar] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,779: +PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,780: +PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,781: +PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,782: +PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,783: +PUB [/RosAria/motors_state] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,784: +SERVICE [/RosAria/enable_motors] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,785: +SERVICE [/RosAria/disable_motors] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:16,791: publisherUpdate[/rosout] -> http://onboardpc:33965/ ['http://onboardpc:44755/']
[rosmaster.master][INFO] 2018-12-04 19:26:16,796: publisherUpdate[/rosout] -> http://onboardpc:33965/ ['http://onboardpc:44755/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-12-04 19:26:17,391: +SERVICE [/RosAria/set_parameters] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:17,394: +PUB [/RosAria/parameter_descriptions] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:17,395: +PUB [/RosAria/parameter_updates] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:26:17,403: +PARAM [/RosAria/trans_accel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,405: +PARAM [/RosAria/trans_decel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,406: +PARAM [/RosAria/lat_accel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,408: +PARAM [/RosAria/lat_decel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,409: +PARAM [/RosAria/rot_accel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,411: +PARAM [/RosAria/rot_decel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,412: +PARAM [/RosAria/TicksMM] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,414: +PARAM [/RosAria/DriftFactor] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,415: +PARAM [/RosAria/RevCount] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,416: +PARAM [/RosAria/trans_accel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,417: +PARAM [/RosAria/trans_decel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,418: +PARAM [/RosAria/lat_accel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,419: +PARAM [/RosAria/lat_decel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,420: +PARAM [/RosAria/rot_accel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,421: +PARAM [/RosAria/rot_decel] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,422: +PARAM [/RosAria/TicksMM] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,423: +PARAM [/RosAria/DriftFactor] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,424: +PARAM [/RosAria/RevCount] by /RosAria
[rosmaster.master][INFO] 2018-12-04 19:26:17,429: +SUB [/RosAria/cmd_vel] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,872: -PUB [/rosout] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,874: -PUB [/tf] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,875: -PUB [/RosAria/pose] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,876: -PUB [/RosAria/bumper_state] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,876: -PUB [/RosAria/sonar] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,877: -PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,879: -PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,880: -PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,881: -PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,883: -PUB [/RosAria/motors_state] /RosAria http://onboardpc:44755/
