[rosmaster.main][INFO] 2018-12-05 20:36:40,451: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 20:36:40,451: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 20:36:40,452: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 20:36:40,452: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2018-12-05 20:36:40,453: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-05 20:36:40,453: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 20:36:40,470: +PARAM [/lms1xx/host] by /lms1xx
[rosmaster.master][INFO] 2018-12-05 20:36:40,476: +PUB [/rosout] /lms1xx http://onboardpc:46415/
[rosmaster.master][INFO] 2018-12-05 20:36:40,477: +SERVICE [/lms1xx/get_loggers] /lms1xx http://onboardpc:46415/
[rosmaster.master][INFO] 2018-12-05 20:36:40,479: +SERVICE [/lms1xx/set_logger_level] /lms1xx http://onboardpc:46415/
[rosmaster.master][INFO] 2018-12-05 20:36:40,481: +PUB [/scan] /lms1xx http://onboardpc:46415/
[rosmaster.master][INFO] 2018-12-05 20:36:40,527: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 20:36:40,529: +PARAM [/roslaunch/uris/host_onboardpc__34935] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 20:36:40,701: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 20:36:40,702: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 20:36:40,710: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:42531/
[rosmaster.master][INFO] 2018-12-05 20:36:40,711: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:42531/
[rosmaster.master][INFO] 2018-12-05 20:36:40,713: +PUB [/rosout_agg] /rosout http://onboardpc:42531/
[rosmaster.master][INFO] 2018-12-05 20:36:40,718: +SUB [/rosout] /rosout http://onboardpc:42531/
[rosmaster.master][INFO] 2018-12-05 20:36:43,319: -PUB [/rosout] /lms1xx http://onboardpc:46415/
[rosmaster.master][INFO] 2018-12-05 20:36:43,322: -PUB [/scan] /lms1xx http://onboardpc:46415/
[rosmaster.master][INFO] 2018-12-05 20:36:43,326: -SERVICE [/lms1xx/get_loggers] /lms1xx rosrpc://onboardpc:45163
[rosmaster.master][INFO] 2018-12-05 20:36:43,328: -SERVICE [/lms1xx/set_logger_level] /lms1xx rosrpc://onboardpc:45163
[rosmaster.master][INFO] 2018-12-05 20:36:43,358: publisherUpdate[/rosout] -> http://onboardpc:42531/ []
[rosmaster.master][INFO] 2018-12-05 20:36:43,363: publisherUpdate[/rosout] -> http://onboardpc:42531/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-12-05 20:36:44,064: -PUB [/rosout_agg] /rosout http://onboardpc:42531/
[rosmaster.master][INFO] 2018-12-05 20:36:44,066: -SUB [/rosout] /rosout http://onboardpc:42531/
[rosmaster.master][INFO] 2018-12-05 20:36:44,067: -SERVICE [/rosout/get_loggers] /rosout rosrpc://onboardpc:56485
[rosmaster.master][INFO] 2018-12-05 20:36:44,068: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://onboardpc:56485
[rosmaster.main][INFO] 2018-12-05 20:36:44,103: keyboard interrupt, will exit
[rosmaster.main][INFO] 2018-12-05 20:36:44,104: stopping master...
[rospy.core][INFO] 2018-12-05 20:36:44,104: signal_shutdown [atexit]
