[rosmaster.main][INFO] 2018-12-05 11:47:17,169: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 11:47:17,169: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 11:47:17,170: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 11:47:17,171: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2018-12-05 11:47:17,171: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-05 11:47:17,171: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 11:47:17,256: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,258: +PARAM [/roslaunch/uris/host_onboardpc__36465] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,438: +PARAM [/arm/arm_1_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,439: +PARAM [/arm/arm_4_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,439: +PARAM [/arm/joint_group_interpol_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,439: +PARAM [/arm/joint_group_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,440: +PARAM [/arm/driver/sync/interval_ms] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,440: +PARAM [/arm/arm_1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,440: +PARAM [/script_server/arm/default_vel] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,440: +PARAM [/arm/arm_3_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,441: +PARAM [/arm/arm_5_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,441: +PARAM [/script_server/arm/waveleft] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,441: +PARAM [/arm/joint_trajectory_controller/constraints/arm_4_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,441: +PARAM [/arm/joint_trajectory_controller/state_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,441: +PARAM [/arm/driver/nodes/arm_4_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,441: +PARAM [/arm/arm_3_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,442: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:45773/
[rosmaster.master][INFO] 2018-12-05 11:47:17,442: +PARAM [/arm/arm_3_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,443: +PARAM [/arm/joint_trajectory_controller/constraints/arm_6_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,443: +PARAM [/arm/robot_state_publisher/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,443: +PARAM [/arm/joint_group_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,444: +PARAM [/arm/arm_6_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,444: +PARAM [/arm/arm_3_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,444: +PARAM [/arm/joint_group_interpol_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,445: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:45773/
[rosmaster.master][INFO] 2018-12-05 11:47:17,445: +PARAM [/arm/joint_trajectory_controller/constraints/arm_3_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,445: +PARAM [/arm/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,446: +PARAM [/script_server/arm/waveright] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,446: +PARAM [/arm/arm_1_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,447: +PARAM [/arm/driver/defaults/eds_pkg] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,447: +PARAM [/arm/driver/name] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,447: +PARAM [/script_server/arm/home] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,448: +PUB [/rosout_agg] /rosout http://onboardpc:45773/
[rosmaster.master][INFO] 2018-12-05 11:47:17,448: +PARAM [/arm/driver/nodes/arm_2_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,449: +PARAM [/arm/joint_group_velocity_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,449: +PARAM [/arm/arm_1_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,449: +PARAM [/arm/joint_trajectory_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,450: +PARAM [/arm/arm_6_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,450: +PARAM [/arm/joint_group_interpol_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,450: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,451: +PARAM [/arm/driver/nodes/arm_1_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,452: +PARAM [/arm/joint_trajectory_controller/constraints/arm_1_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,453: +PARAM [/arm/driver/sync/overflow] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,453: +PARAM [/arm/arm_2_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,453: +PARAM [/arm/joint_trajectory_controller/constraints/arm_2_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,453: +PARAM [/arm/arm_3_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,454: +PARAM [/arm/robot_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,454: +PARAM [/arm/arm_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,454: +PARAM [/arm/joint_trajectory_controller/stop_trajectory_duration] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,454: +PARAM [/arm/joint_group_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,454: +PARAM [/arm/joint_trajectory_controller/constraints/arm_5_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,454: +PARAM [/arm/joint_trajectory_controller/constraints/stopped_velocity_tolerance] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,455: +PARAM [/arm/arm_1_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,455: +PARAM [/arm/joint_trajectory_controller/action_monitor_rate] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,455: +PARAM [/arm/joint_trajectory_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,455: +PARAM [/arm/joint_trajectory_controller/constraints/arm_5_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,455: +PARAM [/arm/driver/defaults/vel_to_device] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,455: +PARAM [/arm/arm_3_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,456: +PARAM [/script_server/arm/joint_names] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,456: +PARAM [/arm/joint_trajectory_controller/constraints/arm_3_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,456: +PARAM [/arm/arm_4_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,456: +PARAM [/arm/driver/nodes/arm_6_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,456: +PARAM [/arm/arm_4_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:47:17,456: +PARAM [/arm/arm_2_joint_position_controller/type] by /roslaunch
