

1547211392.310484553  Node Startup
1547211420.093349691 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:293(RosAriaNode) [topics: /rosout, /tf] RosAria: set port: [/dev/ttyS0]
1547211420.711701744 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:153(readParameters) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state] This robot's TicksMM parameter: 0
1547211420.713079573 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:165(readParameters) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state] This robot's DriftFactor parameter: 0
1547211420.714334760 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:177(readParameters) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state] This robot's RevCount parameter: 0
1547211420.747792364 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:523(Setup) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] rosaria: Setup complete
1547211420.758745153 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:615(publish) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] RosAria: publishing new recharge state 0.
1547211420.758819464 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:624(publish) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] RosAria: publishing new motors state 0.
1547211463.206339465 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:624(publish) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] RosAria: publishing new motors state 1.
1547211502.846829523 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211502.847)
1547211503.347300114 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211503.347)
1547211503.380119369 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211503.380)
1547211503.407941061 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211503.408)
1547211503.873323114 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211503.873)
1547211503.875713082 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211503.876)
1547211504.044828431 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211504.045)
1547211504.276618504 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211504.277)
1547211504.301590952 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211504.301)
1547211504.468886516 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211504.469)
1547211504.636740252 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211504.637)
1547211504.813636477 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211504.814)
1547211504.980565235 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211504.980)
1547211505.148610056 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211505.149)
1547211505.864498249 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211505.864)
1547211506.088594049 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211506.088)
1547211506.462754172 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [0.00,0.00](1547211506.463)
1547211510.047875186 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [67.54,0.00](1547211510.048)
1547211565.658838584 INFO [/home/seekurjr/catkin_ws/src/rosaria/RosAria.cpp:721(cmdvel_cb) [topics: /rosout, /tf, /RosAria/pose, /RosAria/bumper_state, /RosAria/sonar, /RosAria/sonar_pointcloud2, /RosAria/battery_voltage, /RosAria/battery_recharge_state, /RosAria/battery_state_of_charge, /RosAria/motors_state, /RosAria/parameter_descriptions, /RosAria/parameter_updates] new speed: [67.54,0.00](1547211565.659)
