[rosmaster.main][INFO] 2019-01-09 11:42:14,087: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-01-09 11:42:14,087: Starting ROS Master Node
[xmlrpc][INFO] 2019-01-09 11:42:14,088: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-01-09 11:42:14,089: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2019-01-09 11:42:14,089: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2019-01-09 11:42:14,089: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-01-09 11:42:14,182: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-01-09 11:42:14,184: +PARAM [/roslaunch/uris/host_onboardpc__45393] by /roslaunch
[rosmaster.master][INFO] 2019-01-09 11:42:14,344: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-01-09 11:42:14,344: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-01-09 11:42:14,390: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:44409/
[rosmaster.master][INFO] 2019-01-09 11:42:14,391: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:44409/
[rosmaster.master][INFO] 2019-01-09 11:42:14,393: +PUB [/rosout_agg] /rosout http://onboardpc:44409/
[rosmaster.master][INFO] 2019-01-09 11:42:14,400: +SUB [/rosout] /rosout http://onboardpc:44409/
[rosmaster.master][INFO] 2019-01-09 11:44:31,232: +PUB [/rosout] /rosarnl_node http://onboardpc:44959/
[rosmaster.master][INFO] 2019-01-09 11:44:31,234: +SERVICE [/rosarnl_node/get_loggers] /rosarnl_node http://onboardpc:44959/
[rosmaster.master][INFO] 2019-01-09 11:44:31,235: +SERVICE [/rosarnl_node/set_logger_level] /rosarnl_node http://onboardpc:44959/
[rosmaster.master][INFO] 2019-01-09 11:44:31,237: +PUB [/tf] /rosarnl_node http://onboardpc:44959/
[rosmaster.master][INFO] 2019-01-09 11:44:31,239: +PUB [/rosarnl_node/motors_state] /rosarnl_node http://onboardpc:44959/
[rosmaster.master][INFO] 2019-01-09 11:44:31,240: +PUB [/rosarnl_node/amcl_pose] /rosarnl_node http://onboardpc:44959/
