[rosmaster.main][INFO] 2018-12-05 17:31:51,573: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 17:31:51,574: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 17:31:51,575: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 17:31:51,575: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2018-12-05 17:31:51,575: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-05 17:31:51,575: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 17:31:51,659: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,662: +PARAM [/roslaunch/uris/host_onboardpc__42377] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,849: +PARAM [/arm/arm_1_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,849: +PARAM [/arm/arm_4_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,851: +PARAM [/arm/joint_group_interpol_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,851: +PARAM [/arm/joint_group_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,852: +PARAM [/arm/driver/sync/interval_ms] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,852: +PARAM [/arm/arm_1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,852: +PARAM [/script_server/arm/default_vel] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,852: +PARAM [/arm/arm_3_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,852: +PARAM [/arm/arm_5_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,852: +PARAM [/script_server/arm/waveleft] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,852: +PARAM [/arm/joint_trajectory_controller/constraints/arm_4_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,853: +PARAM [/arm/joint_trajectory_controller/state_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,853: +PARAM [/arm/driver/nodes/arm_4_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,853: +PARAM [/arm/arm_3_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,853: +PARAM [/arm/arm_3_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,853: +PARAM [/arm/joint_trajectory_controller/constraints/arm_6_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,853: +PARAM [/arm/robot_state_publisher/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,854: +PARAM [/arm/joint_group_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,854: +PARAM [/arm/arm_6_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,854: +PARAM [/arm/arm_3_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,854: +PARAM [/arm/joint_group_interpol_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:31:51,854: +PARAM [/arm/joint_trajectory_controller/constraints/arm_3_joint/trajectory] by /roslaunch
