

1544038311.876329053  Node Startup
1544038312.015375818 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038312.565834048 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_motor_node/src/motor_chain.cpp:94(MotorChain::setup_chain) [topics: /rosout, /diagnostics] Using fixed control period: 0.010000000
1544038317.025597190 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038322.028345158 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038327.029454223 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038332.049662247 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038337.051964614 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038342.068526240 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038347.082674506 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038352.100793777 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038357.119430984 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038362.139715863 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038367.153649462 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038372.169018444 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038377.183725134 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
