[rosmaster.main][INFO] 2018-12-04 18:23:35,017: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-04 18:23:35,017: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-04 18:23:35,018: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-04 18:23:35,019: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2018-12-04 18:23:35,019: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-04 18:23:35,019: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-04 18:23:35,102: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:23:35,104: +PARAM [/roslaunch/uris/host_onboardpc__34155] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:23:35,255: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:23:35,255: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:23:35,271: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:42827/
[rosmaster.master][INFO] 2018-12-04 18:23:35,272: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:42827/
[rosmaster.master][INFO] 2018-12-04 18:23:35,275: +PUB [/rosout_agg] /rosout http://onboardpc:42827/
[rosmaster.master][INFO] 2018-12-04 18:23:35,286: +SUB [/rosout] /rosout http://onboardpc:42827/
[rosmaster.master][INFO] 2018-12-04 18:30:26,310: +PARAM [/roslaunch/uris/host_onboardpc__38181] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,340: +PARAM [/arm/arm_1_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,340: +PARAM [/arm/arm_4_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,340: +PARAM [/arm/joint_group_interpol_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,341: +PARAM [/arm/joint_group_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,341: +PARAM [/arm/driver/sync/interval_ms] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,341: +PARAM [/arm/arm_1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,341: +PARAM [/script_server/arm/default_vel] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,341: +PARAM [/arm/arm_3_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,341: +PARAM [/arm/arm_5_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,342: +PARAM [/script_server/arm/waveleft] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,342: +PARAM [/arm/joint_trajectory_controller/constraints/arm_4_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,342: +PARAM [/arm/joint_trajectory_controller/state_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,342: +PARAM [/arm/driver/nodes/arm_4_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,342: +PARAM [/arm/arm_3_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,342: +PARAM [/arm/arm_3_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,343: +PARAM [/arm/joint_trajectory_controller/constraints/arm_6_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,343: +PARAM [/arm/robot_state_publisher/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,343: +PARAM [/arm/joint_group_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,343: +PARAM [/arm/arm_6_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,343: +PARAM [/arm/arm_3_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,343: +PARAM [/arm/joint_group_interpol_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,343: +PARAM [/arm/joint_trajectory_controller/constraints/arm_3_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,344: +PARAM [/arm/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,344: +PARAM [/script_server/arm/waveright] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,344: +PARAM [/arm/arm_1_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,344: +PARAM [/arm/driver/defaults/eds_pkg] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,344: +PARAM [/arm/driver/name] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,344: +PARAM [/script_server/arm/home] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,345: +PARAM [/arm/driver/nodes/arm_2_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,345: +PARAM [/arm/joint_group_velocity_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,345: +PARAM [/arm/arm_1_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,345: +PARAM [/arm/joint_trajectory_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,345: +PARAM [/arm/arm_6_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,345: +PARAM [/arm/joint_group_interpol_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,346: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,346: +PARAM [/arm/driver/nodes/arm_1_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,346: +PARAM [/arm/joint_trajectory_controller/constraints/arm_1_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,346: +PARAM [/arm/driver/sync/overflow] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,347: +PARAM [/arm/arm_2_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,347: +PARAM [/arm/joint_trajectory_controller/constraints/arm_2_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,347: +PARAM [/arm/arm_3_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,347: +PARAM [/arm/robot_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,347: +PARAM [/arm/arm_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,347: +PARAM [/arm/joint_trajectory_controller/stop_trajectory_duration] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,348: +PARAM [/arm/joint_group_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,348: +PARAM [/arm/joint_trajectory_controller/constraints/arm_5_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,348: +PARAM [/arm/joint_trajectory_controller/constraints/stopped_velocity_tolerance] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,348: +PARAM [/arm/arm_1_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,348: +PARAM [/arm/joint_trajectory_controller/action_monitor_rate] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,348: +PARAM [/arm/joint_trajectory_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,349: +PARAM [/arm/joint_trajectory_controller/constraints/arm_5_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,349: +PARAM [/arm/driver/defaults/vel_to_device] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,349: +PARAM [/arm/arm_3_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,349: +PARAM [/script_server/arm/joint_names] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,349: +PARAM [/arm/joint_trajectory_controller/constraints/arm_3_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,349: +PARAM [/arm/arm_4_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,349: +PARAM [/arm/driver/nodes/arm_6_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,350: +PARAM [/arm/arm_4_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,350: +PARAM [/arm/arm_2_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,350: +PARAM [/arm/arm_6_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,350: +PARAM [/arm/driver/defaults/dcf_overlay/604Csub2] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,350: +PARAM [/arm/driver/defaults/dcf_overlay/604Csub1] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,350: +PARAM [/arm/driver/nodes/arm_3_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,351: +PARAM [/arm/arm_5_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,351: +PARAM [/arm/joint_trajectory_controller/constraints/arm_1_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,351: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,351: +PARAM [/arm/joint_trajectory_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,351: +PARAM [/arm/joint_trajectory_controller/constraints/goal_time] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,351: +PARAM [/arm/arm_1_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,351: +PARAM [/arm/arm_6_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 18:30:26,352: +PARAM [/script_server/arm/wave] by /roslaunch
