[rosmaster.main][INFO] 2019-01-14 13:31:47,874: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-01-14 13:31:47,874: Starting ROS Master Node
[xmlrpc][INFO] 2019-01-14 13:31:47,875: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-01-14 13:31:47,876: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2019-01-14 13:31:47,876: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2019-01-14 13:31:47,876: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-01-14 13:31:47,943: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 13:31:47,945: +PARAM [/roslaunch/uris/host_onboardpc__42357] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 13:31:48,111: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 13:31:48,111: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 13:31:48,158: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:43061/
[rosmaster.master][INFO] 2019-01-14 13:31:48,159: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:43061/
[rosmaster.master][INFO] 2019-01-14 13:31:48,161: +PUB [/rosout_agg] /rosout http://onboardpc:43061/
[rosmaster.master][INFO] 2019-01-14 13:31:48,167: +SUB [/rosout] /rosout http://onboardpc:43061/
