[rosmaster.main][INFO] 2018-12-05 20:38:42,541: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 20:38:42,541: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 20:38:42,542: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 20:38:42,543: Started XML-RPC server [http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-05 20:38:42,543: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 20:38:42,543: Master initialized: port[11311], uri[http://onboardpc:11311/]
[rosmaster.master][INFO] 2018-12-05 20:38:42,614: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 20:38:42,620: +PARAM [/roslaunch/uris/host_onboardpc__38457] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 20:38:42,792: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 20:38:42,793: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 20:38:42,800: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:45333/
[rosmaster.master][INFO] 2018-12-05 20:38:42,801: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:45333/
[rosmaster.master][INFO] 2018-12-05 20:38:42,806: +PUB [/rosout_agg] /rosout http://onboardpc:45333/
[rosmaster.master][INFO] 2018-12-05 20:38:42,811: +SUB [/rosout] /rosout http://onboardpc:45333/
[rosmaster.master][INFO] 2018-12-05 20:39:13,891: +PUB [/rosout] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,892: +SERVICE [/rosarnl_node/get_loggers] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,893: +SERVICE [/rosarnl_node/set_logger_level] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,895: +PUB [/tf] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,898: +PUB [/rosarnl_node/motors_state] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,899: +PUB [/rosarnl_node/amcl_pose] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,900: +SERVICE [/rosarnl_node/enable_motors] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,901: +SERVICE [/rosarnl_node/disable_motors] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,902: +SERVICE [/rosarnl_node/wander] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,903: +SERVICE [/rosarnl_node/stop] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,905: +SERVICE [/rosarnl_node/dock] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,906: +SERVICE [/rosarnl_node/make_plan] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,907: +SERVICE [/rosarnl_node/global_localization] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,908: publisherUpdate[/rosout] -> http://onboardpc:45333/ ['http://onboardpc:45557/']
[rosmaster.master][INFO] 2018-12-05 20:39:13,911: publisherUpdate[/rosout] -> http://onboardpc:45333/ ['http://onboardpc:45557/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-12-05 20:39:13,912: +SERVICE [/rosarnl_node/load_map_file] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,918: +SUB [/rosarnl_node/initialpose] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,919: +PUB [/rosarnl_node/arnl_server_mode] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,920: +PUB [/rosarnl_node/arnl_server_status] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,921: +PUB [/rosarnl_node/arnl_path_state] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,922: +PUB [/rosarnl_node/bumper_state] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,923: +PUB [/rosarnl_node/battery_status] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,933: +SUB [/rosarnl_node/move_base_simple/goal] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,938: +SUB [/rosarnl_node/goalname] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,939: +PUB [/rosarnl_node/current_goal] /rosarnl_node http://onboardpc:45557/
[rosmaster.master][INFO] 2018-12-05 20:39:13,953: +SUB [/rosarnl_node/jog_position_simple/goal] /rosarnl_node http://onboardpc:45557/
