[rosmaster.main][INFO] 2018-12-05 17:54:42,255: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 17:54:42,256: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 17:54:42,257: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 17:54:42,257: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2018-12-05 17:54:42,257: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-05 17:54:42,257: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 17:54:42,340: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,343: +PARAM [/roslaunch/uris/host_onboardpc__43445] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,530: +PARAM [/arm/arm_1_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,531: +PARAM [/arm/arm_4_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,531: +PARAM [/arm/joint_group_interpol_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,531: +PARAM [/arm/joint_group_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,531: +PARAM [/arm/driver/sync/interval_ms] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,532: +PARAM [/arm/arm_1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,532: +PARAM [/script_server/arm/default_vel] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,532: +PARAM [/arm/arm_3_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,532: +PARAM [/arm/arm_5_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,532: +PARAM [/script_server/arm/waveleft] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 17:54:42,533: +PARAM [/arm/joint_trajectory_controller/constraints/arm_4_joint/goal] by /roslaunch
