[rosmaster.main][INFO] 2018-12-05 11:42:57,519: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 11:42:57,520: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 11:42:57,521: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2018-12-05 11:42:57,521: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-05 11:42:57,521: Started XML-RPC server [http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-05 11:42:57,522: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 11:42:57,612: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,615: +PARAM [/roslaunch/uris/host_onboardpc__43465] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,789: +PARAM [/arm/arm_1_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,789: +PARAM [/arm/arm_4_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,789: +PARAM [/arm/joint_group_interpol_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,790: +PARAM [/arm/joint_group_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,790: +PARAM [/arm/driver/sync/interval_ms] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,790: +PARAM [/arm/arm_1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,790: +PARAM [/script_server/arm/default_vel] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,790: +PARAM [/arm/arm_3_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,790: +PARAM [/arm/arm_5_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,791: +PARAM [/script_server/arm/waveleft] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,791: +PARAM [/arm/joint_trajectory_controller/constraints/arm_4_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,791: +PARAM [/arm/joint_trajectory_controller/state_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,791: +PARAM [/arm/driver/nodes/arm_4_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,791: +PARAM [/arm/arm_3_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,791: +PARAM [/arm/arm_3_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,791: +PARAM [/arm/joint_trajectory_controller/constraints/arm_6_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,792: +PARAM [/arm/robot_state_publisher/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,792: +PARAM [/arm/joint_group_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,792: +PARAM [/arm/arm_6_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,792: +PARAM [/arm/arm_3_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,792: +PARAM [/arm/joint_group_interpol_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,792: +PARAM [/arm/joint_trajectory_controller/constraints/arm_3_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,793: +PARAM [/arm/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,793: +PARAM [/script_server/arm/waveright] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,793: +PARAM [/arm/arm_1_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,793: +PARAM [/arm/driver/defaults/eds_pkg] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,793: +PARAM [/arm/driver/name] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,793: +PARAM [/script_server/arm/home] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,794: +PARAM [/arm/driver/nodes/arm_2_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,794: +PARAM [/arm/joint_group_velocity_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,794: +PARAM [/arm/arm_1_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,794: +PARAM [/arm/joint_trajectory_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,794: +PARAM [/arm/arm_6_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,795: +PARAM [/arm/joint_group_interpol_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,795: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,795: +PARAM [/arm/driver/nodes/arm_1_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,795: +PARAM [/arm/joint_trajectory_controller/constraints/arm_1_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,795: +PARAM [/arm/driver/sync/overflow] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,795: +PARAM [/arm/arm_2_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,796: +PARAM [/arm/joint_trajectory_controller/constraints/arm_2_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,796: +PARAM [/arm/arm_3_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,796: +PARAM [/arm/robot_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,796: +PARAM [/arm/arm_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,796: +PARAM [/arm/joint_trajectory_controller/stop_trajectory_duration] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,796: +PARAM [/arm/joint_group_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,797: +PARAM [/arm/joint_trajectory_controller/constraints/arm_5_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,797: +PARAM [/arm/joint_trajectory_controller/constraints/stopped_velocity_tolerance] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,797: +PARAM [/arm/arm_1_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,797: +PARAM [/arm/joint_trajectory_controller/action_monitor_rate] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,797: +PARAM [/arm/joint_trajectory_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,797: +PARAM [/arm/joint_trajectory_controller/constraints/arm_5_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,797: +PARAM [/arm/driver/defaults/vel_to_device] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,798: +PARAM [/arm/arm_3_joint_position_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,798: +PARAM [/script_server/arm/joint_names] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,798: +PARAM [/arm/joint_trajectory_controller/constraints/arm_3_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,798: +PARAM [/arm/arm_4_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,798: +PARAM [/arm/driver/nodes/arm_6_joint/id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,798: +PARAM [/arm/arm_4_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,799: +PARAM [/arm/arm_2_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 11:42:57,799: +PARAM [/arm/arm_6_joint_position_controller/type] by /roslaunch
