[rosmaster.main][INFO] 2019-01-10 11:43:41,998: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-01-10 11:43:41,998: Starting ROS Master Node
[xmlrpc][INFO] 2019-01-10 11:43:41,999: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-01-10 11:43:41,999: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2019-01-10 11:43:42,000: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2019-01-10 11:43:42,000: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-01-10 11:43:42,093: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-01-10 11:43:42,095: +PARAM [/roslaunch/uris/host_onboardpc__42269] by /roslaunch
[rosmaster.master][INFO] 2019-01-10 11:43:42,255: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-01-10 11:43:42,255: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-01-10 11:43:42,301: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:44279/
[rosmaster.master][INFO] 2019-01-10 11:43:42,302: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:44279/
[rosmaster.master][INFO] 2019-01-10 11:43:42,304: +PUB [/rosout_agg] /rosout http://onboardpc:44279/
[rosmaster.master][INFO] 2019-01-10 11:43:42,311: +SUB [/rosout] /rosout http://onboardpc:44279/
[rosmaster.master][INFO] 2019-01-10 11:43:50,899: +PUB [/rosout] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,900: +SERVICE [/RosAria/get_loggers] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,901: +SERVICE [/RosAria/set_logger_level] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,906: +PUB [/tf] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,917: +PUB [/RosAria/pose] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,918: +PUB [/RosAria/bumper_state] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,919: publisherUpdate[/rosout] -> http://onboardpc:44279/ ['http://onboardpc:35565/']
[rosmaster.master][INFO] 2019-01-10 11:43:50,921: publisherUpdate[/rosout] -> http://onboardpc:44279/ ['http://onboardpc:35565/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-10 11:43:50,921: +PUB [/RosAria/sonar] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,923: +PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,924: +PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,925: +PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,925: +PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,926: +PUB [/RosAria/motors_state] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,927: +SERVICE [/RosAria/enable_motors] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,928: +SERVICE [/RosAria/disable_motors] /RosAria http://onboardpc:35565/
[rosmaster.master][INFO] 2019-01-10 11:43:50,939: -SERVICE [/RosAria/get_loggers] /RosAria rosrpc://onboardpc:48235
[rosmaster.master][INFO] 2019-01-10 11:43:50,940: -SERVICE [/RosAria/set_logger_level] /RosAria rosrpc://onboardpc:48235
[rosmaster.master][INFO] 2019-01-10 11:43:50,942: -SERVICE [/RosAria/enable_motors] /RosAria rosrpc://onboardpc:48235
[rosmaster.master][INFO] 2019-01-10 11:43:50,942: -SERVICE [/RosAria/disable_motors] /RosAria rosrpc://onboardpc:48235
