[rosmaster.main][INFO] 2019-01-09 09:36:02,723: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-01-09 09:36:02,723: Starting ROS Master Node
[xmlrpc][INFO] 2019-01-09 09:36:02,724: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-01-09 09:36:02,725: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2019-01-09 09:36:02,725: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2019-01-09 09:36:02,725: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-01-09 09:36:02,814: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-01-09 09:36:02,817: +PARAM [/roslaunch/uris/host_onboardpc__32793] by /roslaunch
[rosmaster.master][INFO] 2019-01-09 09:36:02,975: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-01-09 09:36:02,976: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-01-09 09:36:03,022: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:33407/
[rosmaster.master][INFO] 2019-01-09 09:36:03,023: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:33407/
[rosmaster.master][INFO] 2019-01-09 09:36:03,027: +PUB [/rosout_agg] /rosout http://onboardpc:33407/
[rosmaster.master][INFO] 2019-01-09 09:36:03,032: +SUB [/rosout] /rosout http://onboardpc:33407/
[rosmaster.master][INFO] 2019-01-09 09:36:27,276: +PUB [/rosout] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,277: +SERVICE [/RosAria/get_loggers] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,278: +SERVICE [/RosAria/set_logger_level] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,282: +PUB [/tf] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,290: +PUB [/RosAria/pose] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,291: +PUB [/RosAria/bumper_state] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,292: +PUB [/RosAria/sonar] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,293: +PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,294: +PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,295: +PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,296: +PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,297: +PUB [/RosAria/motors_state] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,298: +SERVICE [/RosAria/enable_motors] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,299: +SERVICE [/RosAria/disable_motors] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,309: -SERVICE [/RosAria/get_loggers] /RosAria rosrpc://onboardpc:36373
[rosmaster.master][INFO] 2019-01-09 09:36:27,310: -SERVICE [/RosAria/set_logger_level] /RosAria rosrpc://onboardpc:36373
[rosmaster.master][INFO] 2019-01-09 09:36:27,311: -SERVICE [/RosAria/enable_motors] /RosAria rosrpc://onboardpc:36373
[rosmaster.master][INFO] 2019-01-09 09:36:27,313: -SERVICE [/RosAria/disable_motors] /RosAria rosrpc://onboardpc:36373
[rosmaster.master][INFO] 2019-01-09 09:36:27,372: publisherUpdate[/rosout] -> http://onboardpc:33407/ ['http://onboardpc:41217/']
[rosmaster.master][INFO] 2019-01-09 09:36:27,377: publisherUpdate[/rosout] -> http://onboardpc:33407/ ['http://onboardpc:41217/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-09 09:36:27,479: -PUB [/rosout] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,479: publisherUpdate[/rosout] -> http://onboardpc:33407/ []
[rosmaster.master][INFO] 2019-01-09 09:36:27,481: publisherUpdate[/rosout] -> http://onboardpc:33407/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-09 09:36:27,482: -PUB [/tf] /RosAria http://onboardpc:41217/
[rosmaster.master][INFO] 2019-01-09 09:36:27,484: -PUB [/RosAria/pose] /RosAria http://onboardpc:41217/
