[rosmaster.main][INFO] 2019-01-10 10:04:00,056: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-01-10 10:04:00,057: Starting ROS Master Node
[xmlrpc][INFO] 2019-01-10 10:04:00,058: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-01-10 10:04:00,058: Started XML-RPC server [http://onboardpc:11311/]
[xmlrpc][INFO] 2019-01-10 10:04:00,058: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-01-10 10:04:00,058: Master initialized: port[11311], uri[http://onboardpc:11311/]
[rosmaster.master][INFO] 2019-01-10 10:04:00,149: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-01-10 10:04:00,151: +PARAM [/roslaunch/uris/host_onboardpc__45215] by /roslaunch
[rosmaster.master][INFO] 2019-01-10 10:04:00,311: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-01-10 10:04:00,311: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-01-10 10:04:00,357: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:36481/
[rosmaster.master][INFO] 2019-01-10 10:04:00,358: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:36481/
[rosmaster.master][INFO] 2019-01-10 10:04:00,360: +PUB [/rosout_agg] /rosout http://onboardpc:36481/
[rosmaster.master][INFO] 2019-01-10 10:04:00,367: +SUB [/rosout] /rosout http://onboardpc:36481/
[rosmaster.master][INFO] 2019-01-10 10:04:43,394: +PUB [/rosout] /RosAria http://onboardpc:39623/
[rosmaster.master][INFO] 2019-01-10 10:04:43,395: +SERVICE [/RosAria/get_loggers] /RosAria http://onboardpc:39623/
[rosmaster.master][INFO] 2019-01-10 10:04:43,396: +SERVICE [/RosAria/set_logger_level] /RosAria http://onboardpc:39623/
[rosmaster.master][INFO] 2019-01-10 10:04:43,402: +PUB [/tf] /RosAria http://onboardpc:39623/
[rosmaster.master][INFO] 2019-01-10 10:04:43,413: +PUB [/RosAria/pose] /RosAria http://onboardpc:39623/
[rosmaster.master][INFO] 2019-01-10 10:04:43,414: +PUB [/RosAria/bumper_state] /RosAria http://onboardpc:39623/
[rosmaster.master][INFO] 2019-01-10 10:04:43,415: +PUB [/RosAria/sonar] /RosAria http://onboardpc:39623/
[rosmaster.master][INFO] 2019-01-10 10:04:43,416: +PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:39623/
[rosmaster.master][INFO] 2019-01-10 10:04:43,417: +PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:39623/
[rosmaster.master][INFO] 2019-01-10 10:04:43,417: +PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:39623/
