[rosmaster.main][INFO] 2019-01-14 13:55:43,336: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-01-14 13:55:43,336: Starting ROS Master Node
[xmlrpc][INFO] 2019-01-14 13:55:43,337: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-01-14 13:55:43,337: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2019-01-14 13:55:43,338: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2019-01-14 13:55:43,338: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-01-14 13:55:43,428: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 13:55:43,429: +PARAM [/roslaunch/uris/host_onboardpc__40547] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 13:55:43,592: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 13:55:43,592: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 13:55:43,613: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:41687/
[rosmaster.master][INFO] 2019-01-14 13:55:43,614: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:41687/
[rosmaster.master][INFO] 2019-01-14 13:55:43,616: +PUB [/rosout_agg] /rosout http://onboardpc:41687/
[rosmaster.master][INFO] 2019-01-14 13:55:43,621: +SUB [/rosout] /rosout http://onboardpc:41687/
[rosmaster.master][INFO] 2019-01-14 13:56:19,115: +PARAM [/RosAria/port] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,118: +PUB [/rosout] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,119: +SERVICE [/RosAria/get_loggers] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,119: publisherUpdate[/rosout] -> http://onboardpc:41687/ ['http://onboardpc:36969/']
[rosmaster.master][INFO] 2019-01-14 13:56:19,122: publisherUpdate[/rosout] -> http://onboardpc:41687/ ['http://onboardpc:36969/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-14 13:56:19,123: +SERVICE [/RosAria/set_logger_level] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,127: +PUB [/tf] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,138: +PUB [/RosAria/pose] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,139: +PUB [/RosAria/bumper_state] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,140: +PUB [/RosAria/sonar] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,142: +PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,143: +PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,144: +PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,145: +PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,146: +PUB [/RosAria/motors_state] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,147: +SERVICE [/RosAria/enable_motors] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,148: +SERVICE [/RosAria/disable_motors] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,751: +SERVICE [/RosAria/set_parameters] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,752: +PUB [/RosAria/parameter_descriptions] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,754: +PUB [/RosAria/parameter_updates] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:19,763: +PARAM [/RosAria/trans_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,764: +PARAM [/RosAria/trans_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,765: +PARAM [/RosAria/lat_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,766: +PARAM [/RosAria/lat_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,768: +PARAM [/RosAria/rot_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,769: +PARAM [/RosAria/rot_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,772: +PARAM [/RosAria/TicksMM] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,774: +PARAM [/RosAria/DriftFactor] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,775: +PARAM [/RosAria/RevCount] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,777: +PARAM [/RosAria/trans_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,778: +PARAM [/RosAria/trans_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,778: +PARAM [/RosAria/lat_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,779: +PARAM [/RosAria/lat_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,780: +PARAM [/RosAria/rot_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,781: +PARAM [/RosAria/rot_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,782: +PARAM [/RosAria/TicksMM] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,783: +PARAM [/RosAria/DriftFactor] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,784: +PARAM [/RosAria/RevCount] by /RosAria
[rosmaster.master][INFO] 2019-01-14 13:56:19,789: +SUB [/RosAria/cmd_vel] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 13:56:47,152: +PUB [/rosout] /rostopic_2319_1547481406975 http://onboardpc:33189/
[rosmaster.master][INFO] 2019-01-14 13:56:47,161: +SERVICE [/rostopic_2319_1547481406975/get_loggers] /rostopic_2319_1547481406975 http://onboardpc:33189/
[rosmaster.master][INFO] 2019-01-14 13:56:47,163: +SERVICE [/rostopic_2319_1547481406975/set_logger_level] /rostopic_2319_1547481406975 http://onboardpc:33189/
[rosmaster.master][INFO] 2019-01-14 13:56:47,173: +SUB [/RosAria/battery_state_of_charge] /rostopic_2319_1547481406975 http://onboardpc:33189/
[rosmaster.master][INFO] 2019-01-14 13:56:47,174: publisherUpdate[/rosout] -> http://onboardpc:41687/ ['http://onboardpc:36969/', 'http://onboardpc:33189/']
