[rosmaster.main][INFO] 2018-12-04 14:51:32,894: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-04 14:51:32,894: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-04 14:51:32,895: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-04 14:51:32,895: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2018-12-04 14:51:32,895: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-04 14:51:32,896: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-04 14:51:32,995: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:32,997: +PARAM [/roslaunch/uris/host_onboardpc__40749] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,100: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,100: +PARAM [/schunk_canopen_node/can_device_name] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,100: +PARAM [/schunk_canopen_node/frequency] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,101: +PARAM [/schunk_canopen_node/node_mapping_4] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,101: +PARAM [/schunk_canopen_node/node_mapping_7] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,101: +PARAM [/schunk_canopen_node/node_mapping_6] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,101: +PARAM [/schunk_canopen_node/node_mapping_8] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,102: +PARAM [/schunk_canopen_node/chain_arm] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,102: +PARAM [/schunk_canopen_node/ppm_profile_velocity] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,102: +PARAM [/schunk_canopen_node/ppm_profile_acceleration] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,102: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,102: +PARAM [/schunk_canopen_node/node_mapping_3] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,103: +PARAM [/schunk_canopen_node/ppm_use_relative_targets] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,103: +PARAM [/schunk_canopen_node/node_mapping_5] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,103: +PARAM [/schunk_canopen_node/chain_names] by /roslaunch
[rosmaster.master][INFO] 2018-12-04 14:51:33,106: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:42395/
[rosmaster.master][INFO] 2018-12-04 14:51:33,109: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:42395/
[rosmaster.master][INFO] 2018-12-04 14:51:33,118: +PUB [/rosout_agg] /rosout http://onboardpc:42395/
[rosmaster.master][INFO] 2018-12-04 14:51:33,126: +SUB [/rosout] /rosout http://onboardpc:42395/
[rosmaster.master][INFO] 2018-12-04 14:51:33,140: +PUB [/rosout] /schunk_canopen_node http://onboardpc:42225/
[rosmaster.master][INFO] 2018-12-04 14:51:33,141: +SERVICE [/schunk_canopen_node/get_loggers] /schunk_canopen_node http://onboardpc:42225/
[rosmaster.master][INFO] 2018-12-04 14:51:33,142: +SERVICE [/schunk_canopen_node/set_logger_level] /schunk_canopen_node http://onboardpc:42225/
[rosmaster.master][INFO] 2018-12-04 14:51:33,156: -SERVICE [/schunk_canopen_node/get_loggers] /schunk_canopen_node rosrpc://onboardpc:50709
[rosmaster.master][INFO] 2018-12-04 14:51:33,157: -SERVICE [/schunk_canopen_node/set_logger_level] /schunk_canopen_node rosrpc://onboardpc:50709
[rosmaster.master][INFO] 2018-12-04 14:51:33,195: publisherUpdate[/rosout] -> http://onboardpc:42395/ ['http://onboardpc:42225/']
[rosmaster.master][INFO] 2018-12-04 14:51:33,202: publisherUpdate[/rosout] -> http://onboardpc:42395/ ['http://onboardpc:42225/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2018-12-04 14:51:33,304: -PUB [/rosout] /schunk_canopen_node http://onboardpc:42225/
[rosmaster.master][INFO] 2018-12-04 14:51:33,396: publisherUpdate[/rosout] -> http://onboardpc:42395/ []
[rosmaster.master][INFO] 2018-12-04 14:51:33,399: publisherUpdate[/rosout] -> http://onboardpc:42395/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-12-04 14:51:56,847: -PUB [/rosout_agg] /rosout http://onboardpc:42395/
[rosmaster.master][INFO] 2018-12-04 14:51:56,848: -SUB [/rosout] /rosout http://onboardpc:42395/
[rosmaster.master][INFO] 2018-12-04 14:51:56,849: -SERVICE [/rosout/get_loggers] /rosout rosrpc://onboardpc:34441
[rosmaster.master][INFO] 2018-12-04 14:51:56,850: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://onboardpc:34441
[rosmaster.main][INFO] 2018-12-04 14:51:57,032: keyboard interrupt, will exit
[rosmaster.main][INFO] 2018-12-04 14:51:57,033: stopping master...
[rospy.core][INFO] 2018-12-04 14:51:57,033: signal_shutdown [atexit]
