[rosmaster.main][INFO] 2019-01-14 09:38:24,485: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-01-14 09:38:24,486: Starting ROS Master Node
[xmlrpc][INFO] 2019-01-14 09:38:24,487: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-01-14 09:38:24,487: Started XML-RPC server [http://onboardpc:11311/]
[xmlrpc][INFO] 2019-01-14 09:38:24,487: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-01-14 09:38:24,487: Master initialized: port[11311], uri[http://onboardpc:11311/]
[rosmaster.master][INFO] 2019-01-14 09:38:24,579: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 09:38:24,581: +PARAM [/roslaunch/uris/host_onboardpc__40371] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 09:38:24,740: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 09:38:24,741: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-01-14 09:38:24,786: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:37839/
[rosmaster.master][INFO] 2019-01-14 09:38:24,787: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:37839/
[rosmaster.master][INFO] 2019-01-14 09:38:24,790: +PUB [/rosout_agg] /rosout http://onboardpc:37839/
[rosmaster.master][INFO] 2019-01-14 09:38:24,797: +SUB [/rosout] /rosout http://onboardpc:37839/
[rosmaster.master][INFO] 2019-01-14 09:42:44,800: +PUB [/rosout] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,801: +SERVICE [/rosarnl_node/get_loggers] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,802: +SERVICE [/rosarnl_node/set_logger_level] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,804: +PUB [/tf] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,806: +PUB [/rosarnl_node/motors_state] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,807: +PUB [/rosarnl_node/amcl_pose] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,808: +SERVICE [/rosarnl_node/enable_motors] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,809: +SERVICE [/rosarnl_node/disable_motors] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,810: +SERVICE [/rosarnl_node/wander] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,811: +SERVICE [/rosarnl_node/stop] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,812: +SERVICE [/rosarnl_node/dock] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,813: +SERVICE [/rosarnl_node/make_plan] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,814: +SERVICE [/rosarnl_node/global_localization] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,815: +SERVICE [/rosarnl_node/load_map_file] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,820: +SUB [/rosarnl_node/initialpose] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,821: +PUB [/rosarnl_node/arnl_server_mode] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,822: +PUB [/rosarnl_node/arnl_server_status] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,823: +PUB [/rosarnl_node/arnl_path_state] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,824: +PUB [/rosarnl_node/bumper_state] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,825: +PUB [/rosarnl_node/battery_status] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,826: publisherUpdate[/rosout] -> http://onboardpc:37839/ ['http://onboardpc:38781/']
[rosmaster.master][INFO] 2019-01-14 09:42:44,829: publisherUpdate[/rosout] -> http://onboardpc:37839/ ['http://onboardpc:38781/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-14 09:42:44,832: +SUB [/rosarnl_node/move_base_simple/goal] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,837: +SUB [/rosarnl_node/goalname] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,838: +PUB [/rosarnl_node/current_goal] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,844: +SUB [/rosarnl_node/jog_position_simple/goal] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,848: +PUB [/rosarnl_node/move_base/result] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,849: +PUB [/rosarnl_node/move_base/feedback] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,850: +PUB [/rosarnl_node/move_base/status] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,864: +SUB [/rosarnl_node/move_base/goal] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,870: +SUB [/rosarnl_node/move_base/cancel] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,873: +PUB [/rosarnl_node/jog_position/result] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,874: +PUB [/rosarnl_node/jog_position/feedback] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,875: +PUB [/rosarnl_node/jog_position/status] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,887: +SUB [/rosarnl_node/jog_position/goal] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,893: +SUB [/rosarnl_node/jog_position/cancel] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,903: +PUB [/rosarnl_node/lms1xx_1_laserscan] /rosarnl_node http://onboardpc:38781/
[rosmaster.master][INFO] 2019-01-14 09:42:44,904: +PUB [/rosarnl_node/lms1xx_1_pointcloud] /rosarnl_node http://onboardpc:38781/
