[rosmaster.main][INFO] 2018-12-05 19:44:21,186: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-12-05 19:44:21,187: Starting ROS Master Node
[xmlrpc][INFO] 2018-12-05 19:44:21,188: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-12-05 19:44:21,188: Started XML-RPC server [http://onboardpc:11311/]
[rosmaster.master][INFO] 2018-12-05 19:44:21,188: Master initialized: port[11311], uri[http://onboardpc:11311/]
[xmlrpc][INFO] 2018-12-05 19:44:21,188: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-12-05 19:44:21,273: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 19:44:21,275: +PARAM [/roslaunch/uris/host_onboardpc__38623] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 19:44:21,449: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 19:44:21,450: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-12-05 19:44:21,500: +SERVICE [/rosout/get_loggers] /rosout http://onboardpc:44579/
[rosmaster.master][INFO] 2018-12-05 19:44:21,501: +SERVICE [/rosout/set_logger_level] /rosout http://onboardpc:44579/
[rosmaster.master][INFO] 2018-12-05 19:44:21,504: +PUB [/rosout_agg] /rosout http://onboardpc:44579/
[rosmaster.master][INFO] 2018-12-05 19:44:21,511: +SUB [/rosout] /rosout http://onboardpc:44579/
[rosmaster.master][INFO] 2018-12-05 19:47:17,104: +PUB [/rosout] /rosarnl_node http://onboardpc:42071/
[rosmaster.master][INFO] 2018-12-05 19:47:17,105: +SERVICE [/rosarnl_node/get_loggers] /rosarnl_node http://onboardpc:42071/
[rosmaster.master][INFO] 2018-12-05 19:47:17,106: +SERVICE [/rosarnl_node/set_logger_level] /rosarnl_node http://onboardpc:42071/
[rosmaster.master][INFO] 2018-12-05 19:47:17,111: +PUB [/tf] /rosarnl_node http://onboardpc:42071/
[rosmaster.master][INFO] 2018-12-05 19:47:17,114: +PUB [/rosarnl_node/motors_state] /rosarnl_node http://onboardpc:42071/
[rosmaster.master][INFO] 2018-12-05 19:47:17,116: +PUB [/rosarnl_node/amcl_pose] /rosarnl_node http://onboardpc:42071/
[rosmaster.master][INFO] 2018-12-05 19:47:17,117: +SERVICE [/rosarnl_node/enable_motors] /rosarnl_node http://onboardpc:42071/
[rosmaster.master][INFO] 2018-12-05 19:47:17,119: +SERVICE [/rosarnl_node/disable_motors] /rosarnl_node http://onboardpc:42071/
